Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
The Duke of Edinburgh's International Award - Canada,AZDNFCZM,Alias (DIY),,,11,$0,$0,"$15,205",$0,"$23,628","$1,068","$8,342",$0,$0,$0,$0,$0,$0,"$47,174","$1,068",,,100.0%,0.0%,95.7%,4.3%,100.0%,0.0%,97.8%,2.2%,0.0%,0.0%,100.0%,0.0%,0.0%,"$48,243"
Solid Rock Mission - SJ GTN,ALDEXGEH,,,,14,$0,$0,$534,$0,"$11,323",$207,$0,$0,$0,$0,$0,$0,"$36,176","$11,857","$36,383",,,100.0%,0.0%,98.2%,1.8%,,,24.6%,75.4%,4.8%,0.0%,100.0%,0.0%,0.0%,"$48,240"
USA ForAfrika,AHJWNVYM, ,Tier 6 (<$5K),"$2,000",25,"$30,672","$11,625","$2,720","$1,930",$0,$0,$0,$0,$0,"$1,284",$0,$0,$0,"$33,392","$14,839",72.5%,27.5%,58.5%,41.5%,,,,,69.2%,30.8%,9.3%,76.9%,9.3%,13.0%,0.9%,"$48,231"
NatureServe,ALKFWJWY,Alias (DIY),Tier 6 (<$5K),"$7,700",25,"$16,266","$8,340","$6,355","$9,948","$1,841",$455,"$4,546",$60,$50,$319,$0,$0,$0,"$29,058","$19,121",66.1%,33.9%,39.0%,61.0%,80.2%,19.8%,98.7%,1.3%,60.3%,39.7%,4.4%,12.5%,27.6%,59.4%,0.5%,"$48,178"
TOArts,AJCRMJWS,Alias (DIY),Tier 6 (<$5K),$229,25,"$2,766","$3,122","$28,361","$9,290","$4,330",$0,$0,$0,$0,$0,$0,$0,$0,"$35,457","$12,412",47.0%,53.0%,75.3%,24.7%,100.0%,0.0%,,,74.1%,25.9%,1.0%,28.2%,32.9%,37.6%,1.2%,"$47,869"
The Center in Hollywood,ASPMVZPP,Alias (DIY),Tier 4 ($10K–$20K),"$1,310",15,"$18,338","$1,905","$8,397",$776,"$14,703","$3,740",$0,$0,$0,$0,$0,$0,$0,"$41,438","$6,422",90.6%,9.4%,91.5%,8.5%,79.7%,20.3%,,,86.6%,13.4%,0.0%,7.5%,45.0%,47.5%,0.0%,"$47,859"
Dreamflight,AJYUYYKS,Alias (DIY),,,12,"$5,005",$38,"$40,750","$2,059",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$45,755","$2,097",99.2%,0.8%,95.2%,4.8%,,,,,95.6%,4.4%,0.0%,6.7%,34.8%,57.2%,1.3%,"$47,852"
African Impact Foundation,AQQLMXNB,Alias (DIY),Tier 6 (<$5K),"$1,000",25,"$1,466","$17,069","$8,578","$16,656","$2,644","$1,218",$0,$221,$0,$0,$0,$0,$0,"$12,688","$35,164",7.9%,92.1%,34.0%,66.0%,68.5%,31.5%,0.0%,100.0%,26.5%,73.5%,5.5%,35.9%,51.3%,12.8%,0.0%,"$47,852"
Teen Action and Support Center,AHDYNKAS,Alias (DIY),Tier 6 (<$5K),,25,$692,$326,"$28,902","$11,509","$3,134",$76,$0,"$3,204",$0,$0,$0,$0,$0,"$32,728","$15,116",67.9%,32.1%,71.5%,28.5%,97.6%,2.4%,0.0%,100.0%,68.4%,31.6%,10.8%,0.0%,50.0%,50.0%,0.0%,"$47,843"
Intercambio Uniting Communities,AHHWNEDU,Alias (DIY),Tier 6 (<$5K),,25,"$22,406","$12,661",$216,$0,"$3,757",$0,$0,$0,$0,$0,$0,$0,"$8,745","$26,378","$21,405",63.9%,36.1%,100.0%,0.0%,100.0%,0.0%,,,55.2%,44.8%,5.9%,25.3%,25.3%,49.4%,0.0%,"$47,784"
LMC Media,ADXMGAHK,Alias (DIY),Tier 6 (<$5K),,25,"$35,001",$730,"$6,823",$0,"$5,226",$0,$0,$0,$0,$0,$0,$0,$0,"$47,050",$730,98.0%,2.0%,100.0%,0.0%,100.0%,0.0%,,,98.5%,1.5%,3.0%,50.5%,28.6%,19.8%,1.1%,"$47,779"
Pacific Wild USA,AZZBZYKF,Alias (DIY),Tier 6 (<$5K),,25,"$12,086","$1,580","$6,804","$2,781","$22,499",$0,$0,$0,$0,$0,$0,$0,"$1,959","$41,389","$6,320",88.4%,11.6%,71.0%,29.0%,100.0%,0.0%,,,86.8%,13.2%,0.0%,22.2%,27.8%,50.0%,0.0%,"$47,709"
CRISTA,ARCQFUBE,,,,20,$0,$0,$0,$191,"$41,588","$1,315",$0,$0,$44,$0,$0,$0,"$4,533","$41,632","$6,039",,,0.0%,100.0%,96.9%,3.1%,,,87.3%,12.7%,0.0%,,,,,"$47,671"
Lymphatic Education & Research Network,AAHTBYZD,Alias (DIY),Tier 3 ($20K–$50K),,18,"$31,658","$3,254","$11,611","$1,131",$0,$0,$6,$0,$0,$0,$0,$0,$0,"$43,274","$4,385",90.7%,9.3%,91.1%,8.9%,,,100.0%,0.0%,90.8%,9.2%,0.0%,7.6%,17.0%,75.0%,0.4%,"$47,659"
Peninsula Family Service,AFBZQMNS,Heloise Rangel,Tier 5 ($5K–10K),"$5,400",5,"$14,018",$0,"$33,543",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$47,561",$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,2.2%,30.1%,34.4%,35.5%,0.0%,"$47,561"
Grace Upon Grace,AUHCJYUX, ,Tier 6 (<$5K),$300,25,"$12,262","$1,568",$0,$0,"$33,075",$386,$0,$0,$0,$0,$0,$0,$0,"$45,337","$1,954",88.7%,11.3%,,,98.8%,1.2%,,,95.9%,4.1%,0.0%,92.0%,4.0%,4.0%,0.0%,"$47,292"
Anchor,AETFLYNE,Alias (DIY),Tier 6 (<$5K),,25,$0,"$1,622","$15,843",$450,"$29,142",$0,$0,$224,$0,$0,$0,$0,$0,"$44,985","$2,296",0.0%,100.0%,97.2%,2.8%,100.0%,0.0%,0.0%,100.0%,95.1%,4.9%,0.0%,3.7%,66.7%,29.6%,0.0%,"$47,281"
KickStart International,AGDTWCQJ,Alias (DIY),Tier 6 (<$5K),,25,"$22,728","$5,245","$17,476",$217,"$1,435",$0,$0,$0,$0,$0,$0,$0,$0,"$41,639","$5,462",81.3%,18.7%,98.8%,1.2%,100.0%,0.0%,,,88.4%,11.6%,0.0%,6.2%,38.1%,55.7%,0.0%,"$47,101"
Maine Cancer Foundation,APJCJXAP,Alias (DIY),Tier 6 (<$5K),,25,"$40,915",$488,"$1,116",$0,"$4,118",$346,$0,$0,$0,$0,$0,$0,$0,"$46,150",$834,98.8%,1.2%,100.0%,0.0%,92.2%,7.8%,,,98.2%,1.8%,4.1%,92.8%,2.2%,5.1%,0.0%,"$46,984"
Pope Francis School & Health Centre,AZLAQHBF, ,Tier 6 (<$5K),,23,"$36,204","$9,705",$0,"$1,066",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$36,204","$10,771",78.9%,21.1%,0.0%,100.0%,,,,,77.1%,22.9%,0.0%,4.4%,37.8%,57.8%,0.0%,"$46,975"
Sos el Arca Animal Rescue,ABFJJWBY,Alias (DIY),Tier 6 (<$5K),,25,"$17,959","$17,422","$5,333","$3,727",$600,$248,"$1,441",$97,$0,$0,$0,$0,$0,"$25,332","$21,494",50.8%,49.2%,58.9%,41.1%,70.7%,29.3%,93.7%,6.3%,54.1%,45.9%,0.0%,2.4%,5.6%,6.4%,85.6%,"$46,827"
Graeme Dingle Foundation,AFVKHSVU,Alias (DIY),Tier 6 (<$5K),,25,$0,$0,"$20,957","$10,614","$12,214",$231,$0,$0,$512,$177,$0,$0,"$2,111","$33,683","$13,133",,,66.4%,33.6%,98.1%,1.9%,,,71.9%,28.1%,0.0%,10.6%,42.4%,47.0%,0.0%,"$46,816"
Mont Sinai Ministries,AVVDQPZX, ,Tier 6 (<$5K),$750,25,"$1,125","$16,457","$4,847","$24,348",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$5,972","$40,805",6.4%,93.6%,16.6%,83.4%,,,,,12.8%,87.2%,3.4%,6.9%,41.4%,51.7%,0.0%,"$46,777"
New Life Ranch,ATEWPURW,Emilie Poignet,Tier 4 ($10K–$20K),"$19,000",3,"$19,895",$22,"$26,610",$0,$107,$0,$0,$0,$0,$0,$0,$0,$0,"$46,612",$22,99.9%,0.1%,100.0%,0.0%,100.0%,0.0%,,,100.0%,0.0%,5.4%,2.7%,39.7%,57.5%,0.0%,"$46,634"
RGW USA,ACVJBZLD,,,,15,"$27,072","$1,997","$6,919","$1,162",$0,$0,"$9,483",$0,$0,$0,$0,$0,$0,"$43,474","$3,158",93.1%,6.9%,85.6%,14.4%,,,100.0%,0.0%,93.2%,6.8%,0.0%,28.9%,25.1%,46.0%,0.0%,"$46,633"
Project Sweet Peas,ATTQCXRK,Alias (DIY),Tier 6 (<$5K),"$1,000",25,"$30,909","$8,207","$3,001","$1,098",$0,$0,"$3,376",$34,$0,$0,$0,$0,$0,"$37,286","$9,340",79.0%,21.0%,73.2%,26.8%,,,99.0%,1.0%,80.0%,20.0%,8.8%,10.1%,29.7%,59.4%,0.7%,"$46,626"
Freedom 58 Project,ACTZSFKH,Alias (DIY),Tier 5 ($5K–10K),,21,"$15,700","$24,034",$450,"$1,200","$5,215",$0,$0,$0,$0,$0,$0,$0,$0,"$21,365","$25,234",39.5%,60.5%,27.3%,72.7%,100.0%,0.0%,,,45.8%,54.2%,9.3%,65.9%,19.5%,14.6%,0.0%,"$46,599"
Quest Non-Profit Grocery Markets,AWJYRBGZ,Alias (DIY),Tier 6 (<$5K),,16,"$31,915","$4,748",$762,$39,"$8,078","$1,026",$0,$0,$0,$0,$0,$0,$0,"$40,755","$5,813",87.0%,13.0%,95.1%,4.9%,88.7%,11.3%,,,87.5%,12.5%,0.0%,90.3%,6.8%,1.9%,1.0%,"$46,569"
OPTOMETRY GIVING SIGHT CANADA,ATZKNFKM,,,,25,"$33,564",$775,"$1,074",$123,$0,$0,"$6,765",$54,$0,$0,$0,$0,"$4,206","$41,403","$5,158",97.7%,2.3%,89.7%,10.3%,,,99.2%,0.8%,88.9%,11.1%,0.0%,4.7%,45.8%,49.5%,0.0%,"$46,561"
Institute for Humane Studies,AYCFRXRP,Alias (DIY),Tier 5 ($5K–10K),,25,"$34,658","$11,248",$608,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$35,266","$11,248",75.5%,24.5%,100.0%,0.0%,,,,,75.8%,24.2%,1.5%,69.5%,19.8%,10.7%,0.0%,"$46,514"
Pacific Youth Choir,AHRYVGUL,Alias (DIY),Tier 6 (<$5K),,20,$969,$737,"$16,330","$1,312","$25,473","$1,690",$0,$0,$0,$0,$0,$0,$0,"$42,772","$3,739",56.8%,43.2%,92.6%,7.4%,93.8%,6.2%,,,92.0%,8.0%,6.7%,11.6%,41.9%,46.5%,0.0%,"$46,510"
The Greeley Dream Team,ANJKHBMJ,Alias (DIY),Tier 6 (<$5K),$270,25,"$23,512","$5,837","$1,571","$3,158",$359,$0,"$4,200",$698,$600,"$2,296",$0,$0,"$4,243","$30,242","$16,233",80.1%,19.9%,33.2%,66.8%,100.0%,0.0%,85.7%,14.3%,65.1%,34.9%,0.0%,24.3%,25.9%,49.7%,0.0%,"$46,475"
Fundación Tijuana Sin Hambre,AEZXRDZL,,,,25,$773,"$2,081","$34,613","$8,826",$0,$0,$114,$53,$0,$0,$0,$0,$0,"$35,499","$10,960",27.1%,72.9%,79.7%,20.3%,,,68.3%,31.7%,76.4%,23.6%,5.7%,12.7%,39.4%,47.9%,0.0%,"$46,459"
Diabetes Foundation,AXJVDVDC,Alias (DIY),Tier 6 (<$5K),"$1,600",25,"$22,898","$3,366","$12,611","$1,413",$0,$0,"$5,892",$226,$0,$0,$0,$0,$0,"$41,401","$5,005",87.2%,12.8%,89.9%,10.1%,,,96.3%,3.7%,89.2%,10.8%,5.4%,12.1%,72.3%,15.6%,0.0%,"$46,406"
Scarring Alopecia Foundation,AQMSVXWT,Alias (DIY),Tier 6 (<$5K),,22,$0,$0,$0,$0,"$32,305","$14,095",$0,$0,$0,$0,$0,$0,$0,"$32,305","$14,095",,,,,69.6%,30.4%,,,69.6%,30.4%,0.0%,,,,,"$46,400"
Sudara Freedom Fund,ACMDHMJY, ,Tier 6 (<$5K),,25,"$9,047","$11,245","$4,739",$198,"$10,736","$1,742",$0,$0,$0,$0,$0,$0,"$8,649","$24,521","$21,835",44.6%,55.4%,96.0%,4.0%,86.0%,14.0%,,,52.9%,47.1%,0.0%,6.0%,49.4%,37.3%,7.2%,"$46,356"
NIF: Najm Institute Foundation,ALUZXTUW,,,,12,"$3,307",$366,"$31,682","$10,826",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$34,989","$11,192",90.0%,10.0%,74.5%,25.5%,,,,,75.8%,24.2%,0.0%,11.1%,18.2%,68.4%,2.3%,"$46,181"
Oxfam México,ABULMMNE, ,Tier 6 (<$5K),"$3,000",25,$259,"$23,890",$669,"$15,500",$0,$63,$0,$0,$49,"$5,741",$0,$0,$0,$978,"$45,194",1.1%,98.9%,4.1%,95.9%,0.0%,100.0%,,,2.1%,97.9%,0.0%,38.2%,28.1%,33.7%,0.0%,"$46,172"
Children's Receiving Home of Sacramento,AYPNQSUM,Alias (DIY),Tier 6 (<$5K),"$1,000",8,$347,$271,$190,$0,"$42,408",$27,$0,$0,$0,$0,$0,$0,"$2,917","$42,945","$3,215",56.2%,43.8%,100.0%,0.0%,99.9%,0.1%,,,93.0%,7.0%,4.5%,14.3%,28.6%,42.9%,14.3%,"$46,160"
British Liver Trust,AHEXRVPS,Heloise Rangel,,,10,"$4,939",$381,"$38,885",$632,$938,$381,$0,$0,$0,$0,$0,$0,$0,"$44,762","$1,394",92.8%,7.2%,98.4%,1.6%,71.1%,28.9%,,,97.0%,3.0%,0.0%,8.6%,34.1%,57.1%,0.2%,"$46,156"
Emmett Till Interpretive Center,ASQRBVLF,Alias (DIY),Tier 6 (<$5K),$120,25,"$17,387","$15,458","$6,077","$5,447",$0,$0,"$1,716",$54,$0,$0,$0,$0,$0,"$25,180","$20,958",52.9%,47.1%,52.7%,47.3%,,,97.0%,3.0%,54.6%,45.4%,7.3%,12.2%,27.9%,59.9%,0.0%,"$46,138"
Oxfam Aotearoa,ABPXBKUV, ,Tier 4 ($10K–$20K),"$13,600",25,"$22,801","$6,129",$639,"$1,137",$523,"$6,268",$0,$0,$499,"$8,133",$0,$0,$0,"$24,462","$21,667",78.8%,21.2%,36.0%,64.0%,7.7%,92.3%,,,53.0%,47.0%,0.0%,82.1%,7.9%,9.3%,0.7%,"$46,129"
Emergency Infant Services,AGHXMHXJ,Alias (DIY),Tier 5 ($5K–10K),,8,"$18,352","$1,151","$21,544","$1,272","$1,032",$0,$0,$0,$0,$0,$0,$0,"$2,659","$40,928","$5,083",94.1%,5.9%,94.4%,5.6%,100.0%,0.0%,,,89.0%,11.0%,0.0%,8.0%,51.5%,40.5%,0.0%,"$46,011"
AHA,ADMEFGNR,,,,4,"$7,856",$292,"$1,494",$12,"$35,775",$567,$0,$0,$0,$0,$0,$0,$0,"$45,125",$871,96.4%,3.6%,99.2%,0.8%,98.4%,1.6%,,,98.1%,1.9%,0.0%,18.2%,40.0%,40.9%,0.9%,"$45,996"
Natural High,ACYSAYFN,Alias (DIY),Tier 4 ($10K–$20K),,15,"$43,322",$147,$247,$163,$0,$0,$0,$0,$0,$0,$0,$0,"$2,100","$43,569","$2,409",99.7%,0.3%,60.3%,39.7%,,,,,94.8%,5.2%,8.8%,88.9%,4.9%,4.9%,1.2%,"$45,978"
The Nature Conservancy,AHZRYCRW, ,Tier 6 (<$5K),,4,$107,$0,"$45,809",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$45,916",$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,9.8%,34.3%,55.9%,0.0%,"$45,916"
Vancouver Youth Choir,ASZUHFTJ, ,Tier 6 (<$5K),,11,"$44,052",$566,$702,$408,$0,$0,$0,$0,$11,$0,$0,$0,$0,"$44,765",$973,98.7%,1.3%,63.3%,36.7%,,,,,97.9%,2.1%,0.0%,74.1%,8.3%,17.6%,0.0%,"$45,739"
St. Peter's Church,ARRUQQEB,Alias (DIY),,,15,$47,$0,"$32,447","$13,219",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$32,494","$13,219",100.0%,0.0%,71.1%,28.9%,,,,,71.1%,28.9%,0.0%,10.0%,50.5%,39.1%,0.5%,"$45,713"
OrphanCare,ANNCSCBK,Alias (DIY),Tier 6 (<$5K),,25,"$7,034","$5,186","$19,261","$13,290",$818,$50,$0,$0,$0,$0,$0,$0,$0,"$27,113","$18,525",57.6%,42.4%,59.2%,40.8%,94.3%,5.7%,,,59.4%,40.6%,0.0%,9.0%,31.6%,58.8%,0.5%,"$45,638"
Bay Area Bright Futures,AMGXQKWH,Alias (DIY),Tier 4 ($10K–$20K),,21,"$28,204","$3,431","$13,879",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$42,083","$3,431",89.2%,10.8%,100.0%,0.0%,,,,,92.5%,7.5%,9.5%,12.7%,79.4%,7.9%,0.0%,"$45,514"
"Club De Niños Y Niñas De BCS, A.C.",AJYUMDST, ,,,25,"$1,669",$0,"$39,746","$4,072",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$41,415","$4,072",100.0%,0.0%,90.7%,9.3%,,,,,91.0%,9.0%,7.4%,3.7%,44.4%,51.9%,0.0%,"$45,487"
Whole Word Institute (formerly 4.2.20 Foundation),ALJSJNRV, ,Tier 4 ($10K–$20K),,25,"$35,990","$8,270",$501,$412,$0,$308,$0,$0,$0,$0,$0,$0,$0,"$36,491","$8,990",81.3%,18.7%,54.9%,45.1%,0.0%,100.0%,,,80.2%,19.8%,0.0%,18.4%,47.4%,31.6%,2.6%,"$45,481"
Youthline,AYGEBZNS,Alias (DIY),Tier 5 ($5K–10K),,25,"$6,501","$5,370","$7,180","$3,497","$21,510","$1,307",$0,$0,$0,$0,$0,$0,$0,"$35,191","$10,174",54.8%,45.2%,67.2%,32.8%,94.3%,5.7%,,,77.6%,22.4%,0.0%,25.2%,25.2%,45.9%,3.7%,"$45,365"
MDQ Academy,ATRQZWWK,Alias (DIY),,,8,"$2,250",$0,"$1,000",$0,"$41,685",$355,$0,$0,$0,$0,$0,$0,$0,"$44,935",$355,100.0%,0.0%,100.0%,0.0%,99.2%,0.8%,,,99.2%,0.8%,0.0%,71.4%,14.3%,14.3%,0.0%,"$45,290"
Elvefa Organization,AVKKPRMR,Heloise Rangel,,,5,"$41,857","$2,362",$713,$53,$138,$165,$0,$0,$0,$0,$0,$0,$0,"$42,708","$2,581",94.7%,5.3%,93.0%,7.0%,45.5%,54.5%,,,94.3%,5.7%,0.0%,41.9%,11.6%,46.4%,0.0%,"$45,289"
Victory for Veterans Inc.,AZPRFSQM,Alias (DIY),,,25,$688,"$1,759","$12,857","$3,317","$25,644","$1,007",$0,$0,$0,$0,$0,$0,$0,"$39,189","$6,082",28.1%,71.9%,79.5%,20.5%,96.2%,3.8%,,,86.6%,13.4%,7.4%,0.0%,50.0%,50.0%,0.0%,"$45,271"
Community Healthcare of Texas,ASKWBSDZ,Alias (DIY),Tier 5 ($5K–10K),,25,"$29,154","$3,127","$3,426","$1,385",$804,$0,$0,$0,"$3,672","$3,571",$0,$0,$0,"$37,056","$8,083",90.3%,9.7%,71.2%,28.8%,100.0%,0.0%,,,82.1%,17.9%,3.4%,16.1%,29.6%,54.3%,0.0%,"$45,140"
Detroit PAL,AQHEPHTE,Alias (DIY),Tier 6 (<$5K),"$1,000",25,"$37,117","$3,708","$2,900","$1,322",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$40,017","$5,030",90.9%,9.1%,68.7%,31.3%,,,,,88.8%,11.2%,0.0%,70.2%,12.2%,17.6%,0.0%,"$45,047"
StrongMinds,APTDNWGH,Alias (DIY),Tier 5 ($5K–10K),"$6,585",25,"$23,480","$16,813","$1,043","$1,713",$0,$140,"$1,773",$0,$0,$0,$0,$0,$0,"$26,296","$18,666",58.3%,41.7%,37.8%,62.2%,0.0%,100.0%,100.0%,0.0%,58.5%,41.5%,6.6%,19.7%,28.7%,51.6%,0.0%,"$44,963"
Navy SEAL Foundation,ALAWCVJC, ,Tier 3 ($20K–$50K),"$17,836",25,"$2,462","$28,076","$1,030",$131,$0,"$13,240",$0,$0,$0,$0,$0,$0,$0,"$3,492","$41,447",8.1%,91.9%,88.7%,11.3%,0.0%,100.0%,,,7.8%,92.2%,0.0%,60.0%,5.0%,35.0%,0.0%,"$44,939"
America's Warrior Partnership,AVBDPXHX,Alias (DIY),Tier 4 ($10K–$20K),"$13,720",13,"$27,175","$3,370","$12,381",$634,"$1,214",$87,$0,$0,$0,$0,$0,$0,$0,"$40,769","$4,091",89.0%,11.0%,95.1%,4.9%,93.3%,6.7%,,,90.9%,9.1%,0.0%,11.4%,34.9%,53.7%,0.0%,"$44,860"
Happy Home,ARWUQPVU,Alias (DIY),Tier 6 (<$5K),$120,25,"$17,895","$26,941",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$17,895","$26,941",39.9%,60.1%,,,,,,,39.9%,60.1%,0.0%,5.3%,44.7%,50.0%,0.0%,"$44,836"
EU - Elton John AIDS Foundation,AWFLQZBP,,,,18,$842,$147,"$37,358",$0,"$4,965","$1,457",$0,$0,$0,$0,$0,$0,$0,"$43,166","$1,604",85.1%,14.9%,100.0%,0.0%,77.3%,22.7%,,,96.4%,3.6%,0.0%,13.3%,26.7%,60.0%,0.0%,"$44,770"
Heart Research UK,AEESWLGE, ,Tier 6 (<$5K),"$1,000",23,"$43,021",$992,$674,$51,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$43,695","$1,043",97.7%,2.3%,93.0%,7.0%,,,,,97.7%,2.3%,0.0%,15.6%,53.3%,29.3%,1.8%,"$44,738"
Southern Cross Kids' Camps,AEFRLGQC,Alias (DIY),,,7,"$25,611","$3,994",$712,$0,$180,$43,"$8,065",$0,$0,$0,$0,$0,"$6,124","$34,568","$10,161",86.5%,13.5%,100.0%,0.0%,80.7%,19.3%,100.0%,0.0%,77.3%,22.7%,0.0%,61.8%,9.7%,28.5%,0.0%,"$44,729"
Divine Mother Center,AEFUZUSK,Alias (DIY),,,10,"$23,823","$2,608","$13,623",$0,"$4,245",$16,$301,$0,$0,$0,$0,$0,$0,"$41,992","$2,624",90.1%,9.9%,100.0%,0.0%,99.6%,0.4%,100.0%,0.0%,94.1%,5.9%,0.0%,65.2%,17.4%,16.3%,1.1%,"$44,617"
Orchid,AJVFZARB,Alias (DIY),Tier 6 (<$5K),,25,"$2,196",$0,"$37,341","$5,039",$33,$0,$0,$0,$0,$0,$0,$0,$0,"$39,570","$5,039",100.0%,0.0%,88.1%,11.9%,100.0%,0.0%,,,88.7%,11.3%,0.0%,7.2%,32.6%,60.2%,0.0%,"$44,608"
Stadia,AYLZYUQS,Alias (DIY),,,8,"$17,966",$59,"$20,161",$0,"$4,842",$0,$0,$0,$0,$0,$0,$0,"$1,534","$42,968","$1,593",99.7%,0.3%,100.0%,0.0%,100.0%,0.0%,,,96.4%,3.6%,0.0%,13.6%,27.3%,59.1%,0.0%,"$44,561"
Inevitable Foundation,ATQDFLBQ,Alias (DIY),Tier 6 (<$5K),$800,25,"$29,362",$537,"$14,528",$134,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$43,890",$671,98.2%,1.8%,99.1%,0.9%,,,,,98.5%,1.5%,11.1%,8.9%,28.9%,62.2%,0.0%,"$44,561"
Running for a Better Oakland,AFHTWDNA,Alias (DIY),Tier 6 (<$5K),$125,25,"$29,163","$1,032","$7,922","$2,052","$4,005",$256,$0,$0,$0,$0,$0,$0,$0,"$41,090","$3,339",96.6%,3.4%,79.4%,20.6%,94.0%,6.0%,,,92.5%,7.5%,0.0%,42.6%,21.7%,35.7%,0.0%,"$44,429"
Lions Camp Tatiyee,AJHFMSCK, ,,,3,$0,$0,$0,$0,"$43,405",$985,$0,$0,$0,$0,$0,$0,$0,"$43,405",$985,,,,,97.8%,2.2%,,,97.8%,2.2%,0.0%,,,,,"$44,390"
Central Florida Community Arts,ARUGQDCH,Alias (DIY),Tier 6 (<$5K),,17,"$3,438","$1,807",$111,$391,"$32,570","$3,839","$1,910",$0,$290,$0,$0,$0,$0,"$38,319","$6,037",65.5%,34.5%,22.1%,77.9%,89.5%,10.5%,100.0%,0.0%,86.4%,13.6%,5.5%,6.9%,20.7%,72.4%,0.0%,"$44,356"
"OCA, Opportunity Community Ability",AGZRXFNP,Alias (DIY),Tier 5 ($5K–10K),"$7,000",25,"$22,526","$5,062","$16,358",$314,$0,$0,$43,$0,$0,$0,$0,$0,$0,"$38,927","$5,376",81.7%,18.3%,98.1%,1.9%,,,100.0%,0.0%,87.9%,12.1%,0.0%,33.3%,29.5%,37.2%,0.0%,"$44,302"
ACN - Malta,AYJCXAMX,Henrique Lucena,,,14,"$21,972","$1,100","$18,332","$1,556",$555,$0,$0,$0,$58,$699,$0,$0,$0,"$40,918","$3,355",95.2%,4.8%,92.2%,7.8%,100.0%,0.0%,,,92.4%,7.6%,0.0%,49.5%,17.7%,32.1%,0.7%,"$44,273"
French-American Cultural Foundation,ADTKVLYV,Alias (DIY),Tier 6 (<$5K),"$1,000",25,"$26,688",$0,$0,$0,"$17,486",$0,$0,$0,$0,$0,$0,$0,$0,"$44,174",$0,100.0%,0.0%,,,100.0%,0.0%,,,100.0%,0.0%,1.9%,93.1%,0.0%,6.9%,0.0%,"$44,174"
Awakening Angels,AKBWCZYZ,Alias (DIY),Tier 6 (<$5K),"$9,000",25,"$21,949","$3,350","$8,109",$0,"$10,748",$0,$0,$0,$0,$0,$0,$0,$0,"$40,805","$3,350",86.8%,13.2%,100.0%,0.0%,100.0%,0.0%,,,92.4%,7.6%,7.0%,67.9%,19.6%,12.5%,0.0%,"$44,155"
National Interscholastic Cycling Association (NICA),ASZGAKMK,Flavia Castellano,Tier 4 ($10K–$20K),,23,"$22,439",$819,"$1,562","$2,771","$15,714",$80,$0,$0,$600,$0,$0,$0,$0,"$40,314","$3,670",96.5%,3.5%,36.0%,64.0%,99.5%,0.5%,,,91.7%,8.3%,1.4%,11.6%,27.9%,60.5%,0.0%,"$43,983"
Urban Bridge,AVKPNKBJ,Alias (DIY),Tier 6 (<$5K),,25,"$3,387","$8,857","$15,041","$4,259",$0,$0,$0,$0,$0,$0,$0,$0,"$12,372","$18,428","$25,487",27.7%,72.3%,77.9%,22.1%,,,,,42.0%,58.0%,4.6%,9.2%,32.3%,56.9%,1.5%,"$43,916"
Forgotten Not Gone,ARRDCVNF,Alias (DIY),Tier 6 (<$5K),$750,25,"$1,924","$7,027","$24,365","$10,186",$0,$112,$279,$0,$0,$0,$0,$0,$0,"$26,567","$17,324",21.5%,78.5%,70.5%,29.5%,0.0%,100.0%,100.0%,0.0%,60.5%,39.5%,0.8%,19.7%,23.1%,57.3%,0.0%,"$43,891"
