"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Mission Aviation Fellowship (MAF) UK","maf-uk.org","maf-uk.org","Prospect","Prospect","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"University of Waterloo","uwaterloo.ca","uwaterloo.ca","Prospect","Prospect","Opportunity","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","TIER 4"
"Universite de Montreal","umontreal.ca","umontreal.ca","Prospect","Prospect","Meeting Lost","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","TIER 4"
"Jesuits West","jesuitswest.org","jesuitswest.org","Prospect","","Meeting Lost","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Womenslunchplace","womenslunchplace.org","womenslunchplace.org","Prospect","Prospect","Responded","P85: Homeless Persons Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"BJE","bjela.org","bjela.org","Prospect","Prospect","Working","X30: Jewish","X: Religion Related, Spiritual Development","Jewish","Religion","Religion - Jewish","TIER 4"
"Alliance for the Great Lakes","greatlakes.org","greatlakes.org","Prospect","Prospect","Working","C32: Water Resource, Wetlands Conservation and Management","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"American Bird Conservancy","abcbirds.org","abcbirds.org","Prospect","Prospect","Responded","D30: Wildlife Preservation, Protection","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 4"
"Feed the Hunger","feedthehunger.org","feedthehunger.org","Prospect","Prospect","Working","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 4"
"United Way of Greater Newark","uwnewark.org","uwnewark.org","Prospect","Prospect","Opportunity","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"The Shade Tree","theshadetree.org","theshadetree.org","Prospect","Prospect","Responded","P85: Homeless Persons Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"The Cornerstone Village","thecornerstonevillage.org","thecornerstonevillage.org","Prospect","Prospect","Working","L20: Housing Development, Construction, Management","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Nature Canada","naturecanada.ca","naturecanada.ca","Customer","Customer New","Customer","D: Animal-Related","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 4"
"Ecojustice","ecojustice.ca","ecojustice.ca","Customer","Customer Active","Customer","C01: Alliance/Advocacy Organizations","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"Achieving the Dream","achievingthedream.org","achievingthedream.org","Prospect","","Self-Onboarding","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Crossroads Christian Church","crossroadschurch.com","crossroadschurch.com","Prospect","Prospect","Meeting Rescheduled","B24: Elementary School","B: Education","K-12 Education","Education","K-12 Education","TIER 4"
"Tikva Children's Home","tikvaodessa.org","tikvaodessa.org","Prospect","Prospect","Responded","P74: Hospice","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"DC Public Education Fund","dcedfund.org","dcedfund.org","Prospect","Prospect","Working","B11: Education Single Organization Support","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Motown Historical Museum","motownmuseum.org","motownmuseum.org","Prospect","Prospect","Working","A54: History Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"Camden Community Partnership","camdencommunitypartnership.com","camdencommunitypartnership.com","Prospect","Prospect","Responded","S31: Urban, Community Economic Development","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Sharing and Caring Hands Inc","sharingandcaringhands.org","sharingandcaringhands.org","Prospect","Prospect","Responded","P60: Emergency Assistance","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 4"
"Crystal Stairs","crystalstairs.org","crystalstairs.org","Prospect","Prospect","Meeting Lost","P30: Childrens and Youth Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 4"
"Adult & Teen Challenge","teenchallengeusa.org","teenchallengeusa.org","Customer","Churned","Partial Churn","O55: Youth Development-Religious Leadership","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Pomeroy Recreation & Rehabilitation Center","prrcsf.org","prrcsf.org","Prospect","Prospect","Responded","N31: Community Recreational Centers","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Far Reaching Ministries","frmusa.org","frmusa.org","Prospect","Prospect","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 4"
"Scottish Catholic International Aid Fund","sciaf.org.uk","sciaf.org.uk","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 4"
"Youth On Their Own","yoto.org","yoto.org","Prospect","Prospect","Working","P85: Homeless Persons Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 4"
"Hamilton Families","hamiltonfamilies.org","hamiltonfamilies.org","Prospect","Prospect","Working","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","TIER 4"
"Ronald McDonald House Charities of Greater Cincinnati","rmhcincinnati.org","rmhcincinnati.org","Prospect","Engaged Prospect","Opportunity","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"The HOPE Program","thehopeprogram.org","thehopeprogram.org","Prospect","Prospect","Working","J22: Employment Training","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 4"
"Make-A-Wish Foundation of Ireland","makeawish.ie","makeawish.ie","Customer","Customer Active","Customer","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 4"
"Stratum Foundation","stratum.foundation","stratum.foundation","Prospect","Prospect","Meeting Lost","T30: Public Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Public Foundations","Public and Society Benefit","Public & Society Benefit - General","TIER 4"
"Boys and Girls Club of the Tri-County Area","bgctric.org","bgctric.org","Prospect","Prospect","Working","O20: Youth Centers, Boys and Girls Clubs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 4"
"Positive Alternative Radio Incorporated","parfm.com","parfm.com","Prospect","Prospect","Responded","A34: Radio","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 4"
"Santa Barbara Museum of Natural History","sbnature.org","sbnature.org","Prospect","Prospect","Working","A56: Natural History, Natural Science Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 4"
"East Bay Center for the Performing Arts","eastbaycenter.org","eastbaycenter.org","Prospect","Prospect","Working","A6E: Performing Arts Schools","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
"George and Barbara Bush Foundation","georgeandbarbarabush.org","georgeandbarbarabush.org","Prospect","Prospect","Responded","B11: Education Single Organization Support","B: Education","Education related Org - General","Education","Education - General","TIER 4"
"Edward M Kennedy Institute for the United States Senate","emkinstitute.org","emkinstitute.org","Prospect","Prospect","Working","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 4"
"Rails To Trails Conservancy","railstotrails.org","railstotrails.org","Prospect","Prospect","Working","C01: Environment Alliances and Advocacy","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 4"
"The Recording Academy","recordingacademy.com","recordingacademy.com","Customer","Customer Active","Customer","A68: Music","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 4"
"Meals on Wheels San Antonio","mowsatx.org","mowsatx.org","Prospect","Prospect","Responded","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 4"
"Edesia","edesianutrition.org","edesianutrition.org","Prospect","Prospect","Responded","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 4"
